gen	pop	freqMut	ScoefMut	DcoefMut	Ne	hmode	prod	U	rho	seed
40000	1	0.0391869	0.00272758	0.305035	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0260913	0.0219627	0.0379055	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0121293	0.000888528	0.432294	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.005998	0.0231384	0.115948	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00566478	0.126334	0.00648102	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0056981	0.00286637	0.23885	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0948017	2.74386e-05	0.45477	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.442886	0.000416461	0.220732	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0119627	0.0742168	0.000795823	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.198467	0.000180142	0.372027	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.360413	0.000540897	0.211354	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.113096	0.0152859	0.00551421	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.900333	0.000174549	0.430576	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00686438	0.165906	0.0223537	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00686438	0.02901	0.0995317	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0102632	0.0499644	0.0105735	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0172942	0.0469464	0.0236298	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.691336	8.03092e-05	0.349573	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00646451	0.00660882	0.0738132	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00646451	0.498962	0.0114887	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0195601	0.00174057	0.146055	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00916361	0.00361723	0.363498	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0156281	0.0213392	0.0896437	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0155615	0.00751861	0.0643895	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0199267	0.00167653	0.272028	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.380207	0.00060291	0.199129	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0586471	0.00310074	0.379699	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0275242	0.0267151	0.0206791	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00506498	0.000303695	0.183723	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0193935	0.0208271	0.01231	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0422859	0.00341889	0.031024	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.008997	0.0651005	0.047612	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0274242	0.0113434	0.0234365	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0140287	0.0178336	0.0327121	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0358214	0.0313991	0.0170054	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0523159	0.00933855	0.0261655	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00796401	0.00622488	0.114071	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0260913	0.00307743	0.1533	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00566478	0.954598	0.00230698	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00503166	0.872563	0.000602338	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.546051	0.000171652	0.469671	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0345218	0.00730021	0.00143576	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00939687	0.000347558	0.436284	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.112463	0.00395398	0.0501071	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0231589	0.000369878	0.447109	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0118627	0.0018556	0.486372	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.1997	0.00128847	0.053577	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.128424	0.00568979	0.0334637	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.211929	7.38732e-05	0.474931	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0782739	0.00257384	0.142768	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.681273	0.0004703	0.125557	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00593136	0.199673	0.0173388	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00793069	0.00863978	0.0650978	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00709763	0.00463917	0.433729	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0232256	0.0195441	0.0892906	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00683106	0.378077	0.0083307	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0143286	0.00392763	0.205359	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0142952	0.385441	0.00517251	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0399533	0.00383771	0.481963	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0190936	0.0871154	0.0307982	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0299234	0.0105693	0.157829	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0760413	0.000434071	0.463474	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.213629	0.000193269	0.043125	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0105631	0.0248363	0.00969331	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0144618	0.0298431	0.00583016	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00979673	0.458403	0.00402757	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00963012	0.00807122	0.244077	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0301899	0.00866938	0.0109246	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.193602	0.00390967	0.16697	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.284239	0.00168183	0.00593668	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0674109	0.000509073	0.0198964	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0207597	0.0759523	0.042603	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00679773	0.0102529	0.281086	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00806398	2.76123e-05	0.260025	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0092969	0.00601069	0.484597	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0314895	0.0013739	0.0464885	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0204932	0.115709	0.008949	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.026891	0.00983857	0.152607	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00879707	0.0163021	0.114243	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0086971	0.0039869	0.176976	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0181606	0.0290642	0.0323762	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0917694	0.0140354	0.0163098	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0098967	0.0478647	0.0255805	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0132622	0.00242613	0.359231	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0208264	0.0445709	0.000496123	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00639787	0.0552171	0.282777	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.225958	0.00104722	0.0993219	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0138954	0.00496378	0.00948808	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0806065	0.00368956	0.144813	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00506498	0.110389	0.0121231	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0114628	3.32217e-05	0.418204	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
