V1	V2.x	V3	V4	V5	grp	DUP
NC_021694.1	Gnomon	non_coding	0	7583	1	NO
NC_021694.1	Gnomon	exon	7584	8524	2	NO
NC_021694.1	Gnomon	intron	8525	30129	3	NO
NC_021694.1	Gnomon	exon	30130	31695	4	NO
NC_021694.1	Gnomon	intron	31696	35648	5	NO
NC_021694.1	Gnomon	exon	35649	35728	6	NO
NC_021694.1	Gnomon	intron	35729	36037	7	NO
NC_021694.1	Gnomon	exon	36038	36301	8	NO
NC_021694.1	Gnomon	intron	36302	36426	9	NO
NC_021694.1	Gnomon	exon	36427	36474	10	NO
NC_021696.1	Gnomon	non_coding	36475	39600	NA	NA
NC_021694.1	Gnomon	exon	39601	40408	12	NO
NC_021694.1	Gnomon	intron	40409	41430	13	NO
NC_021694.1	Gnomon	exon	41431	41553	14	NO
NC_021694.1	Gnomon	intron	41554	42557	15	NO
NC_021694.1	Gnomon	exon	42558	42695	16	NO
NC_021694.1	Gnomon	intron	42696	43395	17	NO
NC_021694.1	Gnomon	exon	43396	43524	18	NO
NC_021694.1	Gnomon	intron	43525	45402	19	NO
NC_021694.1	Gnomon	exon	45403	45557	20	NO
NC_021694.1	Gnomon	intron	45558	45975	21	NO
NC_021694.1	Gnomon	exon	45976	46079	22	NO
NC_021694.1	Gnomon	intron	46080	46875	23	NO
NC_021694.1	Gnomon	exon	46876	47000	24	NO
NC_021694.1	Gnomon	intron	47001	47729	25	NO
NC_021694.1	Gnomon	exon	47730	48003	26	NO
NC_021694.1	Gnomon	intron	48004	48963	27	NO
NC_021694.1	Gnomon	exon	48964	49176	28	NO
NC_021696.1	Gnomon	non_coding	49177	51454	NA	NA
NC_021694.1	Gnomon	exon	51455	51575	30	NO
NC_021694.1	Gnomon	intron	51576	54290	31	NO
NC_021694.1	Gnomon	exon	54291	54512	32	NO
NC_021694.1	Gnomon	intron	54513	56721	33	NO
NC_021694.1	Gnomon	exon	56722	56859	34	NO
NC_021694.1	Gnomon	intron	56860	57312	35	NO
NC_021694.1	Gnomon	exon	57313	57364	36	NO
NC_021694.1	Gnomon	intron	57365	57545	37	NO
NC_021694.1	Gnomon	exon	57546	57618	38	NO
NC_021694.1	Gnomon	intron	57619	57784	39	NO
NC_021694.1	Gnomon	exon	57785	57918	40	NO
NC_021694.1	Gnomon	intron	57919	58062	41	NO
NC_021694.1	Gnomon	exon	58063	58100	42	NO
NC_021694.1	Gnomon	intron	58101	58219	43	NO
NC_021694.1	Gnomon	exon	58220	58414	44	NO
NC_021694.1	Gnomon	intron	58415	59104	45	NO
NC_021694.1	Gnomon	exon	59105	59226	46	NO
NC_021694.1	Gnomon	intron	59227	59310	47	NO
NC_021694.1	Gnomon	exon	59311	59479	48	NO
NC_021694.1	Gnomon	intron	59480	59594	49	NO
NC_021694.1	Gnomon	exon	59595	59687	50	NO
NC_021694.1	Gnomon	intron	59688	59878	51	NO
NC_021694.1	Gnomon	exon	59879	59969	52	NO
NC_021694.1	Gnomon	intron	59970	60161	53	NO
NC_021694.1	Gnomon	exon	60162	60199	54	NO
NC_021694.1	Gnomon	intron	60200	60362	55	NO
NC_021694.1	Gnomon	exon	60363	60479	56	NO
NC_021694.1	Gnomon	intron	60480	60928	57	NO
NC_021694.1	Gnomon	exon	60929	61707	58	NO
NC_021696.1	Gnomon	non_coding	61708	62596	NA	NA
